airbnb_listing_id,n_dates,coverage
728531681504670920,37,0.3523809523809524
730437501239201082,84,0.8
730503580289648392,10,0.09523809523809523
730553947980169722,78,0.7428571428571429
731853350375474350,34,0.3238095238095238
732572931172602640,63,0.6
734707774394612996,53,0.5047619047619047
734774611454860165,64,0.6095238095238096
734843676958831992,32,0.3047619047619048
734991572208138176,83,0.7904761904761904
735732850757918650,35,0.3333333333333333
739015384619300207,58,0.5523809523809524
739663897909156017,72,0.6857142857142857
742262889162653132,56,0.5333333333333333
744210382596366805,55,0.5238095238095238
745632820094188215,16,0.1523809523809524
746451645715267085,91,0.8666666666666667
748336742434217963,44,0.41904761904761906
753461577197808016,73,0.6952380952380952
753566944813003124,96,0.9142857142857143
754141022905987471,80,0.7619047619047619
754375397775403281,96,0.9142857142857143
754796838418506202,68,0.6476190476190476
756997201912524343,97,0.9238095238095239
758758164947604865,82,0.780952380952381
760805979001764233,3,0.02857142857142857
762112217871324562,61,0.580952380952381
762192750283483456,67,0.638095238095238
762916089194134311,104,0.9904761904761905
766052072199682693,57,0.5428571428571428
766156195693050227,53,0.5047619047619047
766788707373767791,40,0.38095238095238093
767407262472265686,73,0.6952380952380952
768032727158094436,18,0.17142857142857143
769009482417170004,75,0.7142857142857143
769461318721075633,36,0.34285714285714286
769616108652112172,33,0.3142857142857143
770131545986036241,78,0.7428571428571429
771111761043546355,75,0.7142857142857143
771134836709283777,15,0.14285714285714285
772261416620745030,82,0.780952380952381
772706520794806760,9,0.08571428571428572
778933432062496662,73,0.6952380952380952
779104726998664227,38,0.3619047619047619
780376166619260652,44,0.41904761904761906
780872235421635957,44,0.41904761904761906
781223884036842600,62,0.5904761904761905
782548209247570691,54,0.5142857142857142
782734966853311782,79,0.7523809523809524
783879004243392314,81,0.7714285714285715
784598714032826222,71,0.6761904761904762
784836681288428817,65,0.6190476190476191
785658004981722606,79,0.7523809523809524
786307999394390316,72,0.6857142857142857
786807324710664147,52,0.49523809523809526
787195284335262595,63,0.6
787606557854537606,65,0.6190476190476191
787847078680683474,63,0.6
790006111813482352,68,0.6476190476190476
790431243381422888,104,0.9904761904761905
790518755885066166,51,0.4857142857142857
790752171303746450,87,0.8285714285714286
791313913845076166,50,0.47619047619047616
792096103347120988,59,0.5619047619047619
792184367926408145,57,0.5428571428571428
794707921952592251,48,0.45714285714285713
794710559970994170,68,0.6476190476190476
794996321339600522,67,0.638095238095238
795495744056169046,66,0.6285714285714286
795757968903961791,73,0.6952380952380952
796481545034280714,74,0.7047619047619048
797261187302809924,75,0.7142857142857143
798475021925579344,48,0.45714285714285713
798609957167332367,72,0.6857142857142857
798631136594423222,56,0.5333333333333333
799251513158018593,60,0.5714285714285714
800942299109284552,55,0.5238095238095238
801271167231006592,40,0.38095238095238093
801611117719633492,67,0.638095238095238
802047490248101970,42,0.4
802357806571870530,55,0.5238095238095238
802922826036667371,64,0.6095238095238096
803403468437987911,73,0.6952380952380952
805381324514930766,32,0.3047619047619048
805726391815686158,57,0.5428571428571428
806702099486447309,68,0.6476190476190476
807400945391416643,41,0.3904761904761905
807898347637042057,16,0.1523809523809524
809946874989632205,75,0.7142857142857143
811053746893495263,66,0.6285714285714286
812231708820863156,58,0.5523809523809524
813090046454458015,84,0.8
815806026505024003,33,0.3142857142857143
816613605644920543,92,0.8761904761904762
821574780923920105,54,0.5142857142857142
821920276390293366,48,0.45714285714285713
822365439954007216,80,0.7619047619047619
826063757882656916,82,0.780952380952381
826617189908528565,65,0.6190476190476191
828036946101813387,24,0.22857142857142856
831740758559247685,34,0.3238095238095238
832123000813215722,87,0.8285714285714286
834645644371228115,38,0.3619047619047619
836385234465202348,48,0.45714285714285713
836415940545761422,60,0.5714285714285714
837646263953285868,68,0.6476190476190476
837846012155525926,44,0.41904761904761906
839184834439414765,42,0.4
840525492567265584,44,0.41904761904761906
841394344184198064,31,0.29523809523809524
844864653127085626,76,0.7238095238095238
850675824952359571,68,0.6476190476190476
850931966820064700,59,0.5619047619047619
856482117556875618,26,0.24761904761904763
859653300578357102,57,0.5428571428571428
859925561562240250,29,0.2761904761904762
863830918159371125,67,0.638095238095238
869504505210568410,80,0.7619047619047619
871084107630048364,54,0.5142857142857142
873125740517449213,84,0.8
873255393900331818,79,0.7523809523809524
873260132509992833,13,0.12380952380952381
881204142086821328,68,0.6476190476190476
883930877150990341,5,0.047619047619047616
892662939259281401,13,0.12380952380952381
892721989592935461,49,0.4666666666666667
894985131313802009,68,0.6476190476190476
897144549301156856,35,0.3333333333333333
900757690500508426,60,0.5714285714285714
902324773092897293,13,0.12380952380952381
904512525045117852,43,0.4095238095238095
906701409648697471,57,0.5428571428571428
910707550951342167,2,0.01904761904761905
910815231577364751,65,0.6190476190476191
911476333007658783,53,0.5047619047619047
912678193847993947,77,0.7333333333333333
913929715874853789,68,0.6476190476190476
914342944500490787,42,0.4
915332897455058900,68,0.6476190476190476
916052715744473224,54,0.5142857142857142
923133320997277084,53,0.5047619047619047
929120660817262874,98,0.9333333333333333
936216057908307884,75,0.7142857142857143
939218400123538892,34,0.3238095238095238
939325387438995809,76,0.7238095238095238
939698664229028471,39,0.37142857142857144
942057172413556286,39,0.37142857142857144
944320965810800803,87,0.8285714285714286
946451380352813662,28,0.26666666666666666
946609581890906389,37,0.3523809523809524
950059146531590785,17,0.1619047619047619
956398979498945273,39,0.37142857142857144
956676934234107014,24,0.22857142857142856
957349094500016515,82,0.780952380952381
963040775940890055,81,0.7714285714285715
963916345061155113,35,0.3333333333333333
964579064376617710,74,0.7047619047619048
965258538716677226,86,0.819047619047619
965310801955633109,63,0.6
966687088388761169,97,0.9238095238095239
968213956640500474,82,0.780952380952381
970445468070597218,2,0.01904761904761905
973272705231391942,45,0.42857142857142855
978095320445301654,82,0.780952380952381
978244263452010977,50,0.47619047619047616
978410400232267791,31,0.29523809523809524
980310639590708922,91,0.8666666666666667
980365989956218871,73,0.6952380952380952
982642009007231841,52,0.49523809523809526
983188724209547131,74,0.7047619047619048
984846668146064982,53,0.5047619047619047
985445004274818605,59,0.5619047619047619
985716714802993034,48,0.45714285714285713
986245345084467584,86,0.819047619047619
986407426689940399,43,0.4095238095238095
986565062867231257,89,0.8476190476190476
991407580891691701,67,0.638095238095238
995680028058206783,96,0.9142857142857143
996227938456591020,73,0.6952380952380952
999226382307972271,85,0.8095238095238095
1002341236260011015,54,0.5142857142857142
1002785860497857801,80,0.7619047619047619
1004496327455456339,81,0.7714285714285715
1004910078575857573,27,0.2571428571428571
1005860682746801029,75,0.7142857142857143
1005958896607152946,55,0.5238095238095238
1006396584243125090,83,0.7904761904761904
1008029204257210230,68,0.6476190476190476
1011115904222911872,79,0.7523809523809524
1011714999685071594,28,0.26666666666666666
1014245162199655907,43,0.4095238095238095
1015691857467598452,55,0.5238095238095238
1016100494032497541,78,0.7428571428571429
1019041007385326527,43,0.4095238095238095
1019453731090411731,85,0.8095238095238095
1019756845213291605,72,0.6857142857142857
1021217453140595481,46,0.4380952380952381
1023885231203292759,80,0.7619047619047619
1024067179174522246,70,0.6666666666666666
1025356251415331533,36,0.34285714285714286
1028988415727336651,70,0.6666666666666666
1030981527494824971,27,0.2571428571428571
1031938290013047428,82,0.780952380952381
1032037416009523135,37,0.3523809523809524
1033202997223117530,29,0.2761904761904762
1034873975277447845,62,0.5904761904761905
1035628196408986358,43,0.4095238095238095
1036955655225647222,70,0.6666666666666666
1037004838842410100,35,0.3333333333333333
1037047027853581998,43,0.4095238095238095
1039235354309448898,75,0.7142857142857143
1042032092670718662,29,0.2761904761904762
1043497443334655968,42,0.4
1043599286749467076,62,0.5904761904761905
1044223371798078486,70,0.6666666666666666
1044458170286255125,55,0.5238095238095238
1045077329214831775,31,0.29523809523809524
1045459185575382038,93,0.8857142857142857
1045520246239520927,81,0.7714285714285715
1045592510645908121,65,0.6190476190476191
1045916135727198441,59,0.5619047619047619
1046547202929220520,59,0.5619047619047619
1047723626454445067,104,0.9904761904761905
1048804459244346908,82,0.780952380952381
1049417084065072931,12,0.11428571428571428
1050857413300266721,58,0.5523809523809524
1052110098791057231,53,0.5047619047619047
1052490589225547467,67,0.638095238095238
1053030252161966865,83,0.7904761904761904
1053132609735844516,11,0.10476190476190476
1053425333694349352,48,0.45714285714285713
1053522951026570547,86,0.819047619047619
1053625763515857065,72,0.6857142857142857
1053851019443958006,90,0.8571428571428571
1054265461023254222,67,0.638095238095238
1055163452693752832,72,0.6857142857142857
1056816282920055514,63,0.6
1056827534457537585,92,0.8761904761904762
1057137469420115073,78,0.7428571428571429
